objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1237648705133543772,228.181746777919,0.507175190452318,18.68642,17.16112,16.17371,15.71859,15.34876,752,301,5,565,350307731078408192,GALAXY,0.1373313,311,51665,556
1237648705133609249,228.247325252797,0.431336464177413,19.16253,17.2394,16.24816,15.82092,15.46671,752,301,5,566,350304157665617920,GALAXY,0.09259003,311,51665,543
1237648705131970600,224.502896902556,0.497600707306475,18.55733,17.24357,16.62276,16.34301,16.20834,752,301,5,541,3731361017519775744,STAR,-2.152803E-05,3314,54970,468
1237648705132036175,224.697504066669,0.585524685152188,17.40638,16.31527,15.93188,15.76507,15.73012,752,301,5,542,348074628482099200,STAR,4.408863E-05,309,51994,624
1237648705132036182,224.704576415538,0.619730818756091,17.89244,16.8585,16.42653,16.2378,16.17277,752,301,5,542,3731366789955821568,STAR,0.0001051965,3314,54970,489
1237648705132036200,224.742357006794,0.496412899431111,19.37655,19.09841,18.98511,18.71276,18.73387,752,301,5,542,349123837385795584,QSO,1.614186,310,51990,345
1237648705132036398,224.739915025989,0.439437393540297,19.55025,19.23416,19.12857,18.88795,18.92883,752,301,5,542,349127135920678912,QSO,1.520577,310,51990,357
1237648705132232863,225.182124533832,0.490181571523571,18.51099,16.5434,15.63836,15.20576,14.85911,752,301,5,545,349136206891608064,GALAXY,0.04208763,310,51990,390
1237648705132560836,225.959541716547,0.565469211783603,19.26589,18.15041,17.8896,17.74546,17.71285,752,301,5,550,349163419804395520,GALAXY,0.02251297,310,51990,489
1237648705130856507,222.007300553446,0.441129679503954,17.52509,16.50577,16.20803,16.10891,16.07813,752,301,5,524,3275376222854473728,STAR,8.452866E-05,2909,54653,485
1237648705132691462,226.132000023437,0.542542736190846,19.34161,18.36409,18.35733,17.93534,17.87378,752,301,5,552,349162595170674688,STAR,0.000268531,310,51990,486
1237648705132953906,226.848381492433,0.546368449739325,19.26516,17.99321,17.47414,17.14265,16.93251,752,301,5,556,349189808083462144,GALAXY,0.06389839,310,51990,585
1237648705133281621,227.483819873757,0.516285131097165,19.06376,17.60402,16.85892,16.4708,16.21223,752,301,5,561,350271172316784640,GALAXY,0.0879248,311,51665,423
1237648705133478263,228.009334231813,0.477261568046312,19.44932,18.11353,17.47403,17.06372,16.78604,752,301,5,564,350294536938874880,GALAXY,0.04933764,311,51665,508
1237648705132494927,225.690369161698,0.485676085338334,17.33077,16.34117,15.90429,15.72185,15.63862,752,301,5,549,3731400050182561792,STAR,-0.0002633663,3314,54970,610
1237648705133477969,227.963760989755,0.455911145288796,19.05,17.5862,16.81732,16.80353,16.68037,752,301,5,564,350289864014456832,STAR,-0.0003946925,311,51665,491
1237648705133347051,227.671892904205,0.444198217999956,18.17485,16.16745,15.19847,14.7566,14.40484,752,301,5,562,350281892555155456,GALAXY,0.07252388,311,51665,462
1237648705131905049,224.367912671492,0.492218126612411,18.3094,17.13075,16.63043,16.43888,16.33171,752,301,5,540,3731360742641868800,STAR,0.0002563555,3314,54970,467
1237648705131905146,224.469245553799,0.532670430687633,18.22791,17.03074,16.47815,16.24079,16.09382,752,301,5,540,3731361567275589632,STAR,0.0006865854,3314,54970,470
1237648705135247738,232.043348814469,0.493999310978599,19.26014,18.27402,17.88486,17.56656,17.46192,752,301,5,591,352566677851891712,GALAXY,0.0849696,313,51673,582
1237648705133609025,228.240855127206,0.550083978321017,18.61315,17.45258,16.97596,16.78189,16.71016,752,301,5,566,351374532637911040,STAR,-0.000239642,312,51689,341
1237648705131905248,224.379513947526,0.437444346853869,18.55948,17.31544,16.71859,16.32946,16.09309,752,301,5,540,348053737761171456,GALAXY,0.08371136,309,51994,548
1237648705131970604,224.506415894617,0.568373329685116,17.54774,16.37762,15.95853,15.80821,15.75121,752,301,5,541,3731361842153496576,STAR,-8.446602E-05,3314,54970,471
1237648705132101749,224.871895499312,0.555637992545472,18.84333,18.96658,19.36977,19.6634,19.85168,752,301,5,543,4525261745682358272,STAR,-0.000111526,4019,55363,982
1237648705132167410,224.959342905342,0.577381991010701,19.35532,18.27781,18.22118,18.25271,18.32363,752,301,5,544,3731376960438378496,STAR,-0.0007075567,3314,54970,526
1237648705132167570,225.059764277033,0.463676133129381,19.346,17.24572,16.2121,15.77169,15.40704,752,301,5,544,349135382257887232,GALAXY,0.0972218,310,51990,387
1237648705135312978,232.118085452005,0.425498617101872,18.77701,18.58197,18.51498,18.27264,18.24195,752,301,5,592,4517374948172341248,QSO,1.851836,4012,55327,962
1237648705132232813,225.139710161647,0.564910264818396,19.18425,18.51466,18.13073,18.13962,18.02939,752,301,5,545,4521771625410961408,QSO,2.422869,4016,55632,573
1237648705132233014,225.169930070037,0.479656817307294,19.19569,17.3445,16.47097,16.06784,15.7399,752,301,5,545,349138405914863616,GALAXY,0.04087759,310,51990,398
1237648705132298243,225.230676135216,0.591534437546583,18.57234,16.99515,16.34627,16.08808,15.94475,752,301,5,546,3731405547740700672,STAR,-3.487498E-05,3314,54970,630
1237648705132298256,225.259627209029,0.537292269628752,19.35287,17.4368,16.4474,15.98766,15.62644,752,301,5,546,349134557624166400,GALAXY,0.09657628,310,51990,384
1237648705132298264,225.263446396272,0.577676712457418,19.49323,18.49499,18.15971,18.02188,17.99701,752,301,5,546,3731406372374421504,STAR,-9.753967E-05,3314,54970,633
1237648705132298293,225.284498372536,0.514225011382454,19.33871,17.62348,16.86724,16.48278,16.18582,752,301,5,546,349146652252071936,GALAXY,0.03600679,310,51990,428
1237648705132298466,225.27345881848,0.530474258034845,18.13967,16.27623,15.40219,14.96758,14.62897,752,301,5,546,349148026641606656,GALAXY,0.03552287,310,51990,433
1237648705132363903,225.470669346399,0.453889628029823,18.48222,17.49325,17.08255,16.89532,16.82697,752,301,5,547,3731388780188377088,STAR,0.0002415024,3314,54970,569
1237648705132363909,225.476095741065,0.626574672468479,17.13654,16.03048,15.62024,15.47803,15.39691,752,301,5,547,3731405822618607616,STAR,3.037592E-05,3314,54970,631
1237648705132625937,225.981897894561,0.432124810888365,16.87993,16.60884,16.604,16.73685,16.66611,752,301,5,551,350251655985391616,GALAXY,0.005289246,311,51665,352
1237648705132625938,225.98428172019,0.42959997833407,17.37293,16.67231,16.44412,16.50912,16.48517,752,301,5,551,349162870048581632,GALAXY,0.005270182,310,51990,487
1237648705132626252,226.100841395764,0.461937042316795,18.99492,17.79404,17.16438,16.80595,16.59802,752,301,5,551,349162320292767744,GALAXY,0.0969395,310,51990,485
1237648705132757175,226.319658863669,0.571886770783839,18.6517,17.42096,16.94758,16.77098,16.68664,752,301,5,553,349170566629976064,STAR,0.0002815101,310,51990,515
1237648705132822713,226.511352029457,0.60413726846883,19.079,17.9182,17.45819,17.26698,17.19474,752,301,5,554,350248632328415232,STAR,1.231291E-05,311,51665,341
1237648705135051235,231.65695185133,0.592637876252039,17.96254,16.16429,15.39294,14.90381,14.54489,752,301,5,588,352546336886777856,GALAXY,0.05069121,313,51673,508
1237648705133216065,227.372762871052,0.448007560810408,19.20103,17.75733,16.96925,16.56822,16.26453,752,301,5,560,350260726956320768,GALAXY,0.09493727,311,51665,385
1237648705134592201,230.591416842842,0.528798627070516,17.85654,15.90843,15.01138,14.57068,14.23089,752,301,5,581,352512526904223744,GALAXY,0.05258041,313,51673,385
